"CustomerID","Churn"
"Cust4327","Yes"
"Cust3826","No"
"Cust6200","No"
"Cust1467","No"
"Cust4843","No"
"Cust3820","No"
"Cust5325","Yes"
"Cust3940","No"
"Cust5580","No"
"Cust3956","No"
"Cust2707","Yes"
"Cust1923","No"
"Cust2861","No"
"Cust6143","No"
"Cust2127","No"
"Cust3712","No"
"Cust5399","Yes"
"Cust1817","Yes"
"Cust5438","No"
"Cust1983","Yes"
"Cust2111","Yes"
"Cust4331","No"
"Cust4076","No"
"Cust3788","No"
"Cust3542","No"
"Cust4783","No"
"Cust6236","No"
"Cust5640","No"
"Cust6475","No"
"Cust5829","No"
"Cust6233","No"
"Cust2613","Yes"
"Cust2372","No"
"Cust6073","No"
"Cust2065","No"
"Cust2264","No"
"Cust4671","No"
"Cust5810","Yes"
"Cust1516","No"
"Cust1506","No"
"Cust1559","No"
"Cust1224","No"
"Cust5648","No"
"Cust1308","No"
"Cust3781","No"
"Cust4435","Yes"
"Cust1518","Yes"
"Cust5316","No"
"Cust2377","No"
"Cust3962","Yes"
"Cust1260","No"
"Cust6356","No"
"Cust5486","No"
"Cust2285","No"
"Cust5715","No"
"Cust2749","Yes"
"Cust2858","No"
"Cust5099","Yes"
"Cust3354","No"
"Cust1814","No"
"Cust5377","Yes"
"Cust2356","No"
"Cust6275","No"
"Cust6166","No"
"Cust3575","No"
"Cust5706","No"
"Cust6441","No"
"Cust5753","No"
"Cust2550","No"
"Cust3638","No"
"Cust6432","No"
"Cust3865","No"
"Cust3215","No"
"Cust2157","No"
"Cust2399","Yes"
"Cust4829","No"
"Cust3770","Yes"
"Cust1803","No"
"Cust1228","No"
"Cust2737","No"
"Cust5607","No"
"Cust3983","Yes"
"Cust3803","No"
"Cust4374","No"
"Cust3900","No"
"Cust6164","No"
"Cust3889","No"
"Cust4396","No"
"Cust3631","Yes"
"Cust4904","No"
"Cust3466","Yes"
"Cust5638","No"
"Cust2848","No"
"Cust5238","No"
"Cust4121","No"
"Cust4552","No"
"Cust4233","No"
"Cust6035","Yes"
"Cust4334","Yes"
"Cust1579","Yes"
"Cust4068","No"
"Cust1701","No"
"Cust5223","No"
"Cust6445","No"
"Cust5653","No"
"Cust3985","No"
"Cust4574","No"
"Cust6024","No"
"Cust1221","No"
"Cust1621","No"
"Cust5311","Yes"
"Cust6407","No"
"Cust3013","No"
"Cust4045","Yes"
"Cust4473","Yes"
"Cust3053","No"
"Cust1428","No"
"Cust6279","No"
"Cust2440","Yes"
"Cust3715","Yes"
"Cust2161","No"
"Cust1754","No"
"Cust6192","No"
"Cust6191","No"
"Cust4726","No"
"Cust3733","No"
"Cust3590","Yes"
"Cust5803","Yes"
"Cust2438","No"
"Cust2980","No"
"Cust1689","No"
"Cust2188","No"
"Cust4616","No"
"Cust4305","Yes"
"Cust2001","No"
"Cust2272","No"
"Cust2839","No"
"Cust2303","No"
"Cust3894","Yes"
"Cust2287","No"
"Cust5851","No"
"Cust5108","No"
"Cust5266","No"
"Cust4673","Yes"
"Cust1978","No"
"Cust2945","No"
"Cust4776","Yes"
"Cust4023","No"
"Cust2025","No"
"Cust2498","No"
"Cust3402","No"
"Cust3319","No"
"Cust4485","No"
"Cust3191","Yes"
"Cust6175","No"
